unit,scope,fold,heldGroup,threshold,selected,baselineEnter,enterCount,enterPerSession,uniqueSymbols,strict30mCount,unknownCount,coverageRate,entrySymbolHHI,baselineMeanD30,meanD30,meanD30ImprovementPct,medianD30,D30p90,D30p95,D30ES95,MAEmedian,MAEp05,MAEworst,MFEmean,MFEmedian,MAEleMinus2,MAEleMinus5,MAEleMinus10,precision1,precision1Hits,anchorPreservation1,baselineWinners1,falseRiskRejected1,precision2,precision2Hits,anchorPreservation2,baselineWinners2,falseRiskRejected2,precision3,precision3Hits,anchorPreservation3,baselineWinners3,falseRiskRejected3,precision5,precision5Hits,anchorPreservation5,baselineWinners5,falseRiskRejected5,correctRiskRejections,falseRiskAcceptances,goodAcceptances,censoredUnknown,throughput,failedOrUnknown
symbol-2-fold-4,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,4,2,5,False,57,57,3.5625,34,40,17,0.7017543859649122,0.08402585410895659,1.8136326242107337,1.8136326242107337,0.0,1.127507065254596,4.140435539537581,4.2950784440146075,8.953823953823953,-1.127507065254596,-4.295078444014609,-12.857142857142856,4.243025821198771,3.3766240884914756,16,2,1,0.85,34,1.0,34,0,0.775,31,1.0,31,0,0.55,22,1.0,22,0,0.225,9,1.0,9,0,0,2,32,17,1.0,adverseMeanRatioMax:FAIL
symbol-2-fold-4,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,4,2,10,False,57,57,3.5625,34,40,17,0.7017543859649122,0.08402585410895659,1.8136326242107337,1.8136326242107337,0.0,1.127507065254596,4.140435539537581,4.2950784440146075,8.953823953823953,-1.127507065254596,-4.295078444014609,-12.857142857142856,4.243025821198771,3.3766240884914756,16,2,1,0.85,34,1.0,34,0,0.775,31,1.0,31,0,0.55,22,1.0,22,0,0.225,9,1.0,9,0,0,2,32,17,1.0,adverseMeanRatioMax:FAIL
symbol-3-fold-1,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,1,3,1,False,11,0,0.0,0,0,0,,,1.5305505213289927,,,,,,,,,,,,0,0,0,,0,0.0,4,4,,0,0.0,3,3,,0,0.0,2,2,,0,0.0,2,2,0,0,0,6,0.0,precision1RatioMin:INCONCLUSIVE;precision2RatioMin:INCONCLUSIVE;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:INCONCLUSIVE;adverseES95RatioMax:INCONCLUSIVE;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:INCONCLUSIVE
symbol-3-fold-1,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,1,3,2,False,11,4,1.0,3,3,1,0.75,0.375,1.5305505213289927,1.2423603600909698,18.829183174416507,1.5337423312883458,2.06141946544532,2.1273791072149417,2.1933387489845635,-1.5337423312883458,-2.1273791072149417,-2.1933387489845635,6.716772119980637,5.21472392638036,1,0,0,0.6666666666666666,2,0.5,4,2,0.6666666666666666,2,0.6666666666666666,3,1,0.6666666666666666,2,1.0,2,0,0.6666666666666666,2,1.0,2,0,0,0,2,6,0.36363636363636365,precision1RatioMin:FAIL;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
symbol-3-fold-1,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,1,3,5,False,11,11,2.75,8,5,6,0.45454545454545453,0.19008264462809918,1.5305505213289927,1.5305505213289927,0.0,1.5337423312883458,2.4535176361962785,2.540243931933517,2.626970227670755,-1.5337423312883458,-2.540243931933517,-2.626970227670755,4.745145037858238,2.2767075306479923,2,0,0,0.8,4,1.0,4,0,0.6,3,1.0,3,0,0.4,2,1.0,2,0,0.4,2,1.0,2,0,0,0,4,6,1.0,adverseMeanRatioMax:FAIL
symbol-3-fold-1,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,1,3,10,False,11,11,2.75,8,5,6,0.45454545454545453,0.19008264462809918,1.5305505213289927,1.5305505213289927,0.0,1.5337423312883458,2.4535176361962785,2.540243931933517,2.626970227670755,-1.5337423312883458,-2.540243931933517,-2.626970227670755,4.745145037858238,2.2767075306479923,2,0,0,0.8,4,1.0,4,0,0.6,3,1.0,3,0,0.4,2,1.0,2,0,0.4,2,1.0,2,0,0,0,4,6,1.0,adverseMeanRatioMax:FAIL
symbol-3-fold-2,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,2,3,1,False,21,2,0.25,2,0,2,0.0,0.5,2.0189725837885604,,,,,,,,,,,,0,0,0,,0,0.0,10,10,,0,0.0,9,9,,0,0.0,5,5,,0,0.0,3,3,2,0,0,9,0.09523809523809523,precision1RatioMin:INCONCLUSIVE;precision2RatioMin:INCONCLUSIVE;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:INCONCLUSIVE;adverseES95RatioMax:INCONCLUSIVE;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
symbol-3-fold-2,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,2,3,2,False,21,9,1.125,8,4,5,0.4444444444444444,0.13580246913580246,2.0189725837885604,1.0132583559913226,49.813169127340785,0.637627823093756,2.196016771488472,2.4868972746331246,2.777777777777779,-0.637627823093756,-2.486897274633125,-2.777777777777779,5.041022238177629,2.2447428890536747,1,0,0,1.0,4,0.4,10,6,0.75,3,0.3333333333333333,9,6,0.25,1,0.2,5,4,0.25,1,0.3333333333333333,3,2,2,0,4,9,0.42857142857142855,winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
symbol-3-fold-2,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,2,3,5,False,21,21,2.625,11,12,9,0.5714285714285714,0.16099773242630383,2.0189725837885604,2.0189725837885604,0.0,0.942847421164128,5.321560614905625,7.287919210435863,9.345794392523366,-0.942847421164128,-7.287919210435865,-9.345794392523366,5.211659368430945,2.576574369027207,4,2,0,0.8333333333333334,10,1.0,10,0,0.75,9,1.0,9,0,0.4166666666666667,5,1.0,5,0,0.25,3,1.0,3,0,0,2,10,9,1.0,adverseMeanRatioMax:FAIL
symbol-3-fold-2,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,2,3,10,False,21,21,2.625,11,12,9,0.5714285714285714,0.16099773242630383,2.0189725837885604,2.0189725837885604,0.0,0.942847421164128,5.321560614905625,7.287919210435863,9.345794392523366,-0.942847421164128,-7.287919210435865,-9.345794392523366,5.211659368430945,2.576574369027207,4,2,0,0.8333333333333334,10,1.0,10,0,0.75,9,1.0,9,0,0.4166666666666667,5,1.0,5,0,0.25,3,1.0,3,0,0,2,10,9,1.0,adverseMeanRatioMax:FAIL
symbol-3-fold-3,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,3,3,1,False,48,0,0.0,0,0,0,,,2.0183336075554723,,,,,,,,,,,,0,0,0,,0,0.0,27,27,,0,0.0,23,23,,0,0.0,17,17,,0,0.0,10,10,4,0,0,17,0.0,precision1RatioMin:INCONCLUSIVE;precision2RatioMin:INCONCLUSIVE;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:INCONCLUSIVE;adverseES95RatioMax:INCONCLUSIVE;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:INCONCLUSIVE
symbol-3-fold-3,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,3,3,2,False,48,12,1.0,11,8,4,0.6666666666666666,0.09722222222222221,2.0183336075554723,1.9654107215402825,2.622107951682373,1.920182396687392,4.315151515151518,4.682828282828283,5.05050505050505,-1.920182396687392,-4.682828282828283,-5.05050505050505,2.941091984715738,2.146464646464641,3,1,0,0.75,6,0.2222222222222222,27,21,0.625,5,0.21739130434782608,23,18,0.375,3,0.17647058823529413,17,14,0.125,1,0.1,10,9,3,1,5,17,0.25,precision1RatioMin:FAIL;precision2RatioMin:FAIL;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:FAIL;throughputRatioMin:FAIL
symbol-3-fold-3,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,3,3,5,False,48,48,4.0,36,31,17,0.6458333333333334,0.05642361111111111,2.0183336075554723,2.0183336075554723,0.0,1.0638297872340385,5.05050505050505,7.169998779871362,9.739855613642018,-1.0638297872340385,-7.169998779871362,-10.256410256410254,5.108680040991067,3.2362459546925626,11,4,1,0.8709677419354839,27,1.0,27,0,0.7419354838709677,23,1.0,23,0,0.5483870967741935,17,1.0,17,0,0.3225806451612903,10,1.0,10,0,0,4,24,17,1.0,adverseMeanRatioMax:FAIL
symbol-3-fold-3,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,3,3,10,False,48,48,4.0,36,31,17,0.6458333333333334,0.05642361111111111,2.0183336075554723,2.0183336075554723,0.0,1.0638297872340385,5.05050505050505,7.169998779871362,9.739855613642018,-1.0638297872340385,-7.169998779871362,-10.256410256410254,5.108680040991067,3.2362459546925626,11,4,1,0.8709677419354839,27,1.0,27,0,0.7419354838709677,23,1.0,23,0,0.5483870967741935,17,1.0,17,0,0.3225806451612903,10,1.0,10,0,0,4,24,17,1.0,adverseMeanRatioMax:FAIL
symbol-3-fold-4,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,4,3,1,False,53,0,0.0,0,0,0,,,1.9272823226044606,,,,,,,,,,,,0,0,0,,0,0.0,32,32,,0,0.0,30,30,,0,0.0,19,19,,0,0.0,9,9,2,0,0,15,0.0,precision1RatioMin:INCONCLUSIVE;precision2RatioMin:INCONCLUSIVE;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:INCONCLUSIVE;adverseES95RatioMax:INCONCLUSIVE;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:INCONCLUSIVE
symbol-3-fold-4,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,4,3,2,False,53,15,0.9375,12,14,1,0.9333333333333333,0.10222222222222223,1.9272823226044606,1.7070410359906483,11.427557033584268,1.1305671426745545,3.8252104563580005,4.314974064974067,5.05050505050505,-1.1305671426745545,-4.314974064974067,-5.05050505050505,4.228537387335755,2.7954167831937715,5,1,0,0.9285714285714286,13,0.40625,32,19,0.8571428571428571,12,0.4,30,18,0.42857142857142855,6,0.3157894736842105,19,13,0.21428571428571427,3,0.3333333333333333,9,6,1,1,12,15,0.2830188679245283,winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
symbol-3-fold-4,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,4,3,5,False,53,53,3.3125,31,38,15,0.7169811320754716,0.09505161979352082,1.9272823226044606,1.9272823226044606,0.0,1.356860458166792,4.145444549647229,4.374597034171496,8.953823953823953,-1.356860458166792,-4.374597034171497,-12.857142857142856,4.2070408676255475,2.96699438202247,16,2,1,0.8421052631578947,32,1.0,32,0,0.7894736842105263,30,1.0,30,0,0.5,19,1.0,19,0,0.23684210526315788,9,1.0,9,0,0,2,30,15,1.0,adverseMeanRatioMax:FAIL
symbol-3-fold-4,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,4,3,10,False,53,53,3.3125,31,38,15,0.7169811320754716,0.09505161979352082,1.9272823226044606,1.9272823226044606,0.0,1.356860458166792,4.145444549647229,4.374597034171496,8.953823953823953,-1.356860458166792,-4.374597034171497,-12.857142857142856,4.2070408676255475,2.96699438202247,16,2,1,0.8421052631578947,32,1.0,32,0,0.7894736842105263,30,1.0,30,0,0.5,19,1.0,19,0,0.23684210526315788,9,1.0,9,0,0,2,30,15,1.0,adverseMeanRatioMax:FAIL
symbol-4-fold-1,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,1,4,1,False,9,0,0.0,0,0,0,,,1.3869041863197002,,,,,,,,,,,,0,0,0,,0,0.0,3,3,,0,0.0,3,3,,0,0.0,2,2,,0,0.0,2,2,0,0,0,6,0.0,precision1RatioMin:INCONCLUSIVE;precision2RatioMin:INCONCLUSIVE;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:INCONCLUSIVE;adverseES95RatioMax:INCONCLUSIVE;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:INCONCLUSIVE
symbol-4-fold-1,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,1,4,2,False,9,4,1.0,3,2,2,0.5,0.375,1.3869041863197002,0.7668711656441729,44.70626210458357,0.7668711656441729,1.3803680981595112,1.4570552147239284,1.5337423312883458,-0.7668711656441729,-1.4570552147239284,-1.5337423312883458,9.75021910604732,9.75021910604732,0,0,0,1.0,2,0.6666666666666666,3,1,1.0,2,0.6666666666666666,3,1,1.0,2,1.0,2,0,1.0,2,1.0,2,0,0,0,2,6,0.4444444444444444,throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
symbol-4-fold-1,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,1,4,5,False,9,9,2.25,6,3,6,0.3333333333333333,0.25925925925925924,1.3869041863197002,1.3869041863197002,0.0,1.5337423312883458,2.4083246483942733,2.517647438032514,2.626970227670755,-1.5337423312883458,-2.5176474380325145,-2.626970227670755,7.259048580914211,5.21472392638036,1,0,0,1.0,3,1.0,3,0,1.0,3,1.0,3,0,0.6666666666666666,2,1.0,2,0,0.6666666666666666,2,1.0,2,0,0,0,3,6,1.0,adverseMeanRatioMax:FAIL
symbol-4-fold-1,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,1,4,10,False,9,9,2.25,6,3,6,0.3333333333333333,0.25925925925925924,1.3869041863197002,1.3869041863197002,0.0,1.5337423312883458,2.4083246483942733,2.517647438032514,2.626970227670755,-1.5337423312883458,-2.5176474380325145,-2.626970227670755,7.259048580914211,5.21472392638036,1,0,0,1.0,3,1.0,3,0,1.0,3,1.0,3,0,0.6666666666666666,2,1.0,2,0,0.6666666666666666,2,1.0,2,0,0,0,3,6,1.0,adverseMeanRatioMax:FAIL
