cohort,N,policy,meanBuyImprovementPct,medianBuyImprovementPct,p10,p25,p75,p90,cheaperRate,dearerRate,D5,D10,D15,D30,D30p95,D30ES95,D30worst,remaining30,common60Remaining,lostUpsidePP,capture1,capture2,capture3,capture5
COMMON60_WINNER3,267,WAIT10,-1.532002975263681,-1.0204081632652962,-5.000000000000004,-2.6008198162853935,0.0,1.0405216581276202,0.19850187265917604,0.651685393258427,1.1895652279889786,1.622603199350061,1.7961656623412212,2.150797271111949,7.052877422180055,9.967589211356527,14.084507042253524,3.855074444958387,4.653151478851562,1.805708447820675,0.8614232209737828,0.7902621722846442,0.6292134831460674,0.6341463414634146
COMMON60_WINNER3,267,DIP_CLOSE_FALLBACK10,-1.4277749770854118,-0.9192383453709763,-5.000000000000004,-2.565598539927594,0.11854671742470013,1.1119952103133792,0.2546816479400749,0.6067415730337079,1.200041453227005,1.627173342112268,1.7989946028381947,2.1254856027821973,6.551113360323873,9.677260818388465,14.084507042253524,3.8956867747419506,4.786522333321342,1.6723375933508957,0.8614232209737828,0.797752808988764,0.651685393258427,0.6341463414634146
COMMON60_WINNER3,267,OBSERVE5_DELAY_DIP10,-1.2380315249988956,-0.8547008547008517,-3.4181452962838987,-1.9895460658191921,0.0,0.5438030623215795,0.15355805243445692,0.6741573033707865,1.1190310037859137,1.5790493412431257,1.7621230019019383,2.077940882941283,7.172550396148833,10.642886048109473,16.43835616438356,4.06922240702781,5.046879500466601,1.4119804262056361,0.9400749063670412,0.8614232209737828,0.6966292134831461,0.6991869918699187
COMMON60_WINNER5,123,IMMEDIATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7569756370540955,1.0556678289976031,1.2533156949176247,1.4726986429161433,5.516431924882628,9.1712872017811,12.857142857142856,7.351619466608515,9.464165175449544,0.0,1.0,1.0,1.0,1.0
COMMON60_WINNER5,123,WAIT5,-1.7637817795144135,-0.8936550491509987,-5.21052631578947,-2.771150418209234,0.0,0.6443098897686659,0.18699186991869918,0.6666666666666666,1.4933125148719069,1.9695297488973962,2.1178591766219994,2.386616971905631,10.946073793755904,12.319991923710125,16.43835616438356,5.815054002234752,7.464932546861789,1.9992326285877557,0.9349593495934959,0.9105691056910569,0.8536585365853658,0.6991869918699187
COMMON60_WINNER5,123,WAIT10,-2.4497832286288306,-1.521739130434785,-6.965506036697442,-4.460111740336736,0.0,0.8583405416195374,0.15447154471544716,0.6991869918699187,1.497057814872217,1.9785350250548914,2.1547105163645353,2.4834015188249783,10.517919362867094,11.394380773029408,14.084507042253524,5.485511693449802,6.649144472196703,2.815020703252842,0.8699186991869918,0.8373983739837398,0.8048780487804879,0.6341463414634146
COMMON60_WINNER5,123,DIP_CLOSE_FALLBACK10,-2.242012415030621,-1.4285714285714235,-6.965506036697442,-4.460111740336736,0.0,1.148325358851674,0.23577235772357724,0.6504065040650406,1.492524842171633,1.9298619511282742,2.0805206093124373,2.389864595862356,9.627023568205807,11.258597990242215,14.084507042253524,5.533590544173006,6.884998504389697,2.579166671059848,0.8699186991869918,0.8373983739837398,0.8048780487804879,0.6341463414634146
COMMON60_WINNER5,123,OBSERVE5_DELAY_DIP10,-1.9715525931126232,-1.0550996483001063,-5.21052631578947,-2.771150418209234,0.0,0.1512287334593582,0.10569105691056911,0.7154471544715447,1.4978454875724907,2.0182028228240134,2.1920490836740973,2.4801538948682533,11.061946902654869,12.319991923710125,16.43835616438356,5.766975151511547,7.229078514668795,2.2350866607807496,0.9349593495934959,0.9105691056910569,0.8536585365853658,0.6991869918699187
FIRST_CLOSED_DIP,328,IMMEDIATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.654415415922578,2.1222629116355805,2.4226890646251245,2.897956573456276,7.2715989684074795,9.52495059185069,16.613418530351442,1.2155940140574943,1.6876403789020442,0.0,1.0,1.0,1.0,1.0
FIRST_CLOSED_DIP,328,WAIT5,1.1184108158782642,0.8002433435031375,0.06702968630232675,0.3744150858808054,1.506166463889644,2.3586098962353144,0.9115853658536586,0.036585365853658534,0.8155475201927274,1.1747254693204823,1.4069791250482595,1.89114233473757,5.654714015753924,6.990536217386471,8.533653846153843,2.015041092497038,2.4290976900765786,-0.7414573111745345,0.9586206896551724,0.9666666666666667,0.9491525423728814,1.0
